(0, 0, 0) | 000000
(0, 0, 5) | 000005
(0, 0, 10) | 00000A
(0, 0, 15) | 00000F
(0, 0, 20) | 000014
(0, 0, 25) | 000019
(0, 0, 30) | 00001E
(0, 0, 35) | 000023
(0, 0, 40) | 000028
(0, 0, 45) | 00002D
(0, 0, 50) | 000032
(0, 0, 55) | 000037
(0, 0, 60) | 00003C
(0, 0, 65) | 000041
(0, 0, 70) | 000046
(0, 0, 75) | 00004B
(0, 0, 80) | 000050
(0, 0, 85) | 000055
(0, 0, 90) | 00005A
(0, 0, 95) | 00005F
(0, 0, 100) | 000064
(0, 0, 105) | 000069
(0, 0, 110) | 00006E
(0, 0, 115) | 000073
(0, 0, 120) | 000078
(0, 0, 125) | 00007D
(0, 0, 130) | 000082
(0, 0, 135) | 000087
(0, 0, 140) | 00008C
(0, 0, 145) | 000091
(0, 0, 150) | 000096
(0, 0, 155) | 00009B
(0, 0, 160) | 0000A0
(0, 0, 165) | 0000A5
(0, 0, 170) | 0000AA
(0, 0, 175) | 0000AF
(0, 0, 180) | 0000B4
(0, 0, 185) | 0000B9
(0, 0, 190) | 0000BE
(0, 0, 195) | 0000C3
(0, 0, 200) | 0000C8
(0, 0, 205) | 0000CD
(0, 0, 210) | 0000D2
(0, 0, 215) | 0000D7
(0, 0, 220) | 0000DC
(0, 0, 225) | 0000E1
(0, 0, 230) | 0000E6
(0, 0, 235) | 0000EB
(0, 0, 240) | 0000F0
(0, 0, 245) | 0000F5
(0, 0, 250) | 0000FA
(0, 0, 255) | 0000FF
(0, 1, 4) | 000104
(0, 1, 9) | 000109
(0, 1, 14) | 00010E
(0, 1, 19) | 000113
(0, 1, 24) | 000118
(0, 1, 29) | 00011D
(0, 1, 34) | 000122
(0, 1, 39) | 000127
(0, 1, 44) | 00012C
(0, 1, 49) | 000131
(0, 1, 54) | 000136
(0, 1, 59) | 00013B
(0, 1, 64) | 000140
(0, 1, 69) | 000145
(0, 1, 74) | 00014A
(0, 1, 79) | 00014F
(0, 1, 84) | 000154
(0, 1, 89) | 000159
(0, 1, 94) | 00015E
(0, 1, 99) | 000163
(0, 1, 104) | 000168
(0, 1, 109) | 00016D
(0, 1, 114) | 000172
(0, 1, 119) | 000177
(0, 1, 124) | 00017C
(0, 1, 129) | 000181
(0, 1, 134) | 000186
(0, 1, 139) | 00018B
(0, 1, 144) | 000190
(0, 1, 149) | 000195
(0, 1, 154) | 00019A
(0, 1, 159) | 00019F
(0, 1, 164) | 0001A4
(0, 1, 169) | 0001A9
(0, 1, 174) | 0001AE
(0, 1, 179) | 0001B3
(0, 1, 184) | 0001B8
(0, 1, 189) | 0001BD
(0, 1, 194) | 0001C2
(0, 1, 199) | 0001C7
(0, 1, 204) | 0001CC
(0, 1, 209) | 0001D1
(0, 1, 214) | 0001D6
(0, 1, 219) | 0001DB
(0, 1, 224) | 0001E0
(0, 1, 229) | 0001E5
(0, 1, 234) | 0001EA
(0, 1, 239) | 0001EF
(0, 1, 244) | 0001F4
(0, 1, 249) | 0001F9
(0, 1, 254) | 0001FE
(0, 2, 3) | 000203
(0, 2, 8) | 000208
(0, 2, 13) | 00020D
(0, 2, 18) | 000212
(0, 2, 23) | 000217
(0, 2, 28) | 00021C
(0, 2, 33) | 000221
(0, 2, 38) | 000226
(0, 2, 43) | 00022B
(0, 2, 48) | 000230
(0, 2, 53) | 000235
(0, 2, 58) | 00023A
(0, 2, 63) | 00023F
(0, 2, 68) | 000244
(0, 2, 73) | 000249
(0, 2, 78) | 00024E
(0, 2, 83) | 000253
(0, 2, 88) | 000258
(0, 2, 93) | 00025D
(0, 2, 98) | 000262
(0, 2, 103) | 000267
(0, 2, 108) | 00026C
(0, 2, 113) | 000271
(0, 2, 118) | 000276
(0, 2, 123) | 00027B
(0, 2, 128) | 000280
(0, 2, 133) | 000285
(0, 2, 138) | 00028A
(0, 2, 143) | 00028F
(0, 2, 148) | 000294
(0, 2, 153) | 000299
(0, 2, 158) | 00029E
(0, 2, 163) | 0002A3
(0, 2, 168) | 0002A8
(0, 2, 173) | 0002AD
(0, 2, 178) | 0002B2
(0, 2, 183) | 0002B7
(0, 2, 188) | 0002BC
(0, 2, 193) | 0002C1
(0, 2, 198) | 0002C6
(0, 2, 203) | 0002CB
(0, 2, 208) | 0002D0
(0, 2, 213) | 0002D5
(0, 2, 218) | 0002DA
(0, 2, 223) | 0002DF
(0, 2, 228) | 0002E4
(0, 2, 233) | 0002E9
(0, 2, 238) | 0002EE
(0, 2, 243) | 0002F3
(0, 2, 248) | 0002F8
(0, 2, 253) | 0002FD
(0, 3, 2) | 000302
(0, 3, 7) | 000307
(0, 3, 12) | 00030C
(0, 3, 17) | 000311
(0, 3, 22) | 000316
(0, 3, 27) | 00031B
(0, 3, 32) | 000320
(0, 3, 37) | 000325
(0, 3, 42) | 00032A
(0, 3, 47) | 00032F
(0, 3, 52) | 000334
(0, 3, 57) | 000339
(0, 3, 62) | 00033E
(0, 3, 67) | 000343
(0, 3, 72) | 000348
(0, 3, 77) | 00034D
(0, 3, 82) | 000352
(0, 3, 87) | 000357
(0, 3, 92) | 00035C
(0, 3, 97) | 000361
(0, 3, 102) | 000366
(0, 3, 107) | 00036B
(0, 3, 112) | 000370
(0, 3, 117) | 000375
(0, 3, 122) | 00037A
(0, 3, 127) | 00037F
(0, 3, 132) | 000384
(0, 3, 137) | 000389
(0, 3, 142) | 00038E
(0, 3, 147) | 000393
(0, 3, 152) | 000398
(0, 3, 157) | 00039D
(0, 3, 162) | 0003A2
(0, 3, 167) | 0003A7
(0, 3, 172) | 0003AC
(0, 3, 177) | 0003B1
(0, 3, 182) | 0003B6
(0, 3, 187) | 0003BB
(0, 3, 192) | 0003C0
(0, 3, 197) | 0003C5
(0, 3, 202) | 0003CA
(0, 3, 207) | 0003CF
(0, 3, 212) | 0003D4
(0, 3, 217) | 0003D9
(0, 3, 222) | 0003DE
(0, 3, 227) | 0003E3
(0, 3, 232) | 0003E8
(0, 3, 237) | 0003ED
(0, 3, 242) | 0003F2
(0, 3, 247) | 0003F7
(0, 3, 252) | 0003FC
(0, 4, 1) | 000401
(0, 4, 6) | 000406
(0, 4, 11) | 00040B
(0, 4, 16) | 000410
(0, 4, 21) | 000415
(0, 4, 26) | 00041A
(0, 4, 31) | 00041F
(0, 4, 36) | 000424
(0, 4, 41) | 000429
(0, 4, 46) | 00042E
(0, 4, 51) | 000433
(0, 4, 56) | 000438
(0, 4, 61) | 00043D
(0, 4, 66) | 000442
(0, 4, 71) | 000447
(0, 4, 76) | 00044C
(0, 4, 81) | 000451
(0, 4, 86) | 000456
(0, 4, 91) | 00045B
(0, 4, 96) | 000460
(0, 4, 101) | 000465
(0, 4, 106) | 00046A
(0, 4, 111) | 00046F
(0, 4, 116) | 000474
(0, 4, 121) | 000479
(0, 4, 126) | 00047E
(0, 4, 131) | 000483
(0, 4, 136) | 000488
(0, 4, 141) | 00048D
(0, 4, 146) | 000492
(0, 4, 151) | 000497
(0, 4, 156) | 00049C
(0, 4, 161) | 0004A1
(0, 4, 166) | 0004A6
(0, 4, 171) | 0004AB
(0, 4, 176) | 0004B0
(0, 4, 181) | 0004B5
(0, 4, 186) | 0004BA
(0, 4, 191) | 0004BF
(0, 4, 196) | 0004C4
(0, 4, 201) | 0004C9
(0, 4, 206) | 0004CE
(0, 4, 211) | 0004D3
(0, 4, 216) | 0004D8
(0, 4, 221) | 0004DD
(0, 4, 226) | 0004E2
(0, 4, 231) | 0004E7
(0, 4, 236) | 0004EC
(0, 4, 241) | 0004F1
(0, 4, 246) | 0004F6
(0, 4, 251) | 0004FB
(0, 5, 0) | 000500
(0, 5, 5) | 000505
(0, 5, 10) | 00050A
(0, 5, 15) | 00050F
(0, 5, 20) | 000514
(0, 5, 25) | 000519
(0, 5, 30) | 00051E
(0, 5, 35) | 000523
(0, 5, 40) | 000528
(0, 5, 45) | 00052D
(0, 5, 50) | 000532
(0, 5, 55) | 000537
(0, 5, 60) | 00053C
(0, 5, 65) | 000541
(0, 5, 70) | 000546
(0, 5, 75) | 00054B
(0, 5, 80) | 000550
(0, 5, 85) | 000555
(0, 5, 90) | 00055A
(0, 5, 95) | 00055F
(0, 5, 100) | 000564
(0, 5, 105) | 000569
(0, 5, 110) | 00056E
(0, 5, 115) | 000573
(0, 5, 120) | 000578
(0, 5, 125) | 00057D
(0, 5, 130) | 000582
(0, 5, 135) | 000587
(0, 5, 140) | 00058C
(0, 5, 145) | 000591
(0, 5, 150) | 000596
(0, 5, 155) | 00059B
(0, 5, 160) | 0005A0
(0, 5, 165) | 0005A5
(0, 5, 170) | 0005AA
(0, 5, 175) | 0005AF
(0, 5, 180) | 0005B4
(0, 5, 185) | 0005B9
(0, 5, 190) | 0005BE
(0, 5, 195) | 0005C3
(0, 5, 200) | 0005C8
(0, 5, 205) | 0005CD
(0, 5, 210) | 0005D2
(0, 5, 215) | 0005D7
(0, 5, 220) | 0005DC
(0, 5, 225) | 0005E1
(0, 5, 230) | 0005E6
(0, 5, 235) | 0005EB
(0, 5, 240) | 0005F0
(0, 5, 245) | 0005F5
(0, 5, 250) | 0005FA
(0, 5, 255) | 0005FF
(0, 6, 4) | 000604
(0, 6, 9) | 000609
(0, 6, 14) | 00060E
(0, 6, 19) | 000613
(0, 6, 24) | 000618
(0, 6, 29) | 00061D
(0, 6, 34) | 000622
(0, 6, 39) | 000627
(0, 6, 44) | 00062C
(0, 6, 49) | 000631
(0, 6, 54) | 000636
(0, 6, 59) | 00063B
(0, 6, 64) | 000640
(0, 6, 69) | 000645
(0, 6, 74) | 00064A
(0, 6, 79) | 00064F
(0, 6, 84) | 000654
(0, 6, 89) | 000659
(0, 6, 94) | 00065E
(0, 6, 99) | 000663
(0, 6, 104) | 000668
(0, 6, 109) | 00066D
(0, 6, 114) | 000672
(0, 6, 119) | 000677
(0, 6, 124) | 00067C
(0, 6, 129) | 000681
(0, 6, 134) | 000686
(0, 6, 139) | 00068B
